key,en,de,context,location,notes
knowledge.caption.back_results,Back to Results: open page '2 Results' from the sidebar.,Zurück zu Results: öffne Seite '2 Results' in der Sidebar.,Knowledge page footer caption.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.expander.input_schema,Input schema details,Input-Schema im Detail,Knowledge overview expander label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.expander.intersection_statuses,Intersection statuses implemented,Implementierte Schnittpunkt-Status,Knowledge PSM expander label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.expander.pre_share_checks,Quick pre-share checks,Schnelle Checks vor dem Teilen,Knowledge FAQ expander label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.expander.snap_mapping,Current snap mapping,Aktuelles Snap-Mapping,Knowledge grid expander label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.eyebrow,Reference,Referenz,Knowledge page eyebrow.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.faq.check_export_preflight,- Verify export preflight before PPTX generation.,- Export-Preflight vor PPTX prüfen.,Knowledge FAQ quick check bullet.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.faq.check_pi_units,- Verify PI units and PI source mode.,- PI-Einheiten und PI-Quelle prüfen.,Knowledge FAQ quick check bullet.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.faq.check_segment_currency,- Verify segment/currency consistency.,- Segment-/Währungskonsistenz prüfen.,Knowledge FAQ quick check bullet.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.notice.currency_snap,Default currency snapping values are read from config.,Default-Currency-Snapping wird aus der Config gelesen.,Knowledge grid notice.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.notice.deterministic,Deterministic only: calculations and explanations are static and rule-based.,Deterministisch: Berechnungen und Erlaeuterungen sind regelbasiert.,Knowledge overview runtime notice.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.notice.pi_expected,PI unit expectation is 0..100 percent. Fraction input can compress PI curves.,Erwartete PI-Einheit ist 0..100 Prozent. Fraction-Input kann PI komprimieren.,Knowledge NMS PI unit fallback notice.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.notice.pi_normalized,PI unit invariant: internal PI is percent 0..100. Fraction-scale input can be normalized with warning notes.,PI-Invariante: intern ist PI Prozent 0..100. Fraction-Input kann mit Hinweis normalisiert werden.,Knowledge NMS PI unit notice.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.notice.pptx_runtime,PPTX image export requires a working Chrome/Chromium runtime.,PPTX-Bildexport benoetigt eine funktionierende Chrome/Chromium-Runtime.,Knowledge export notice.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.notice.sav_enabled,SAV support is enabled in this environment.,SAV-Unterstützung ist in dieser Umgebung aktiv.,Knowledge overview SAV support notice.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.notice.sav_unavailable,SAV support is optional; not installed in this environment.,SAV-Unterstützung ist optional und in dieser Umgebung nicht installiert.,Knowledge overview SAV support notice.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.notice.validity_rule,Validity rule used by code: `{ordering_rule}`,Plausi-Regel im Code: `{ordering_rule}`,Knowledge PSM validity rule notice.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.schema.optional,Optional columns: {columns},Optionale Spalten: {columns},Knowledge overview schema list label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.schema.recommended,Recommended columns: {columns},Empfohlene Spalten: {columns},Knowledge overview schema list label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.schema.required,Required columns: {columns},Pflichtspalten: {columns},Knowledge overview schema list label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.tab.exports_privacy,Exports & Privacy,Export & Datenschutz,Knowledge page tab label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.tab.faq,FAQ,Häufige Fragen,Knowledge page tab label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.tab.nms,NMS (Newton-Miller-Smith),NMS (Newton-Miller-Smith-Modell),Knowledge page tab label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.tab.overview,Overview,Überblick,Knowledge page tab label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.tab.psm,PSM (Price Sensitivity Meter),PSM (Preissensitivitaetsmeter),Knowledge page tab label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.tab.quality_grid,Quality & Grid,Qualität & Grid,Knowledge page tab label.,src/psm_tool/ui/pages/4_knowledge.py,
knowledge.title,Knowledge & Methodology,Wissen & Methodik,Knowledge page title.,src/psm_tool/ui/pages/4_knowledge.py,
language.switch.label,Language,Sprache,Compact global language switch label.,src/psm_tool/ui/page_nav.py,
nav.app,App,Start,Main app landing page navigation label.,src/psm_tool/ui/page_nav.py,
nav.export,Export,Datenexport,Export page navigation label.,src/psm_tool/ui/page_nav.py,
nav.knowledge,Knowledge,Wissen,Knowledge & Methodology page navigation label.,src/psm_tool/ui/page_nav.py,
nav.next,Next,Weiter,Next page link prefix.,src/psm_tool/ui/page_nav.py,
nav.previous,Previous,Zurück,Previous page link prefix.,src/psm_tool/ui/page_nav.py,
nav.results,Results,Ergebnisse,Results page navigation label.,src/psm_tool/ui/page_nav.py,
nav.upload,Upload,Datenimport,Upload page navigation label.,src/psm_tool/ui/page_nav.py,
knowledge.markdown.overview,"# Knowledge & Methodology\n\nThis page documents exactly what this tool does in code. The logic is deterministic, rule-based, and reproducible.\n\n## What this tool computes\nThe tool combines two pricing lenses:\n\n- **PSM (perception boundaries):** derives PMI, OPP, IDP, PME and accepted range from four threshold questions.\n- **Purchase Intention + Turnover/Profit proxies:** derives PI-over-price and index curves from respondent PI anchors (or optional PI ladder input).\n\n## Runtime workflow in this app\n1) Read file into a canonical DataFrame (`read_any`)\n2) Validate schema and numeric coercion (`validate_template`)\n3) Select product/segment in Results\n4) Build analysis base (plausibility filter toggle, then optional outlier filter)\n5) Build grid (`build_price_grid_details`)\n6) Compute PSM curves/KPIs\n7) Compute NMS/PI and turnover/profit proxies when PI exists\n8) Export PPTX/Excel from the same payload\n\n### Supported file types (runtime)\n- CSV, XLSX. SAV support is optional and not installed in this environment.\n\n### Quick glossary\n- **Threshold columns:** `too_cheap`, `bargain`, `expensive_acceptable`, `too_expensive`\n- **Accepted range:** `[PMI, PME]`\n- **Turnover index:** `price * PI`, normalized to max = 100\n\n## Model Layers\n- **Perception layer (PSM):** price perception boundaries (PMI/OPP/IDP/PME).\n- **Modeled demand layer (NMS/PI):** modeled purchase-intention curves from anchor assumptions.\n- **Economics proxy layer:** turnover/profit proxies derived from modeled PI.\n\nPSM measures price perception boundaries, not observed market demand under competition.\nNo competition/substitution model is included.\n\n### Wording policy examples\n- `Perception: Model suggests a price around the accepted range center under current assumptions.`\n- `Modeled demand: Model suggests using a price around where modeled trial is highest under current assumptions.`\n- `Economics proxy: Model suggests a price around where turnover is highest under current assumptions.`","# Wissen & Methodik\n\nDiese Seite beschreibt exakt, was das Tool im Code tut. Die Logik ist deterministisch, regelbasiert und reproduzierbar.\n\n## Was das Tool berechnet\nDas Tool kombiniert zwei Pricing-Perspektiven:\n- **PSM (Preiswahrnehmung):** PMI, OPP, IDP, PME und akzeptable Preisspanne aus vier Preis-Schwellen.\n- **Kaufwahrscheinlichkeit + Turnover/Profit-Proxies:** PI-Kurve und Index-Kurven aus PI-Ankern (oder optionaler Preisleiter).\n\n## Ablauf im App-Code\n1) Datei in kanonisches DataFrame laden (`read_any`)\n2) Schema/Numerik validieren (`validate_template`)\n3) Produkt/Segment in Results wählen\n4) Analysebasis bilden (Plausibilitäts-Filter, danach optionaler Ausreißerfilter)\n5) Preisgrid bauen (`build_price_grid_details`)\n6) PSM-Kurven/KPIs berechnen\n7) NMS/PI und Turnover/Profit berechnen (falls PI vorhanden)\n8) PPTX/Excel aus demselben Payload exportieren\n\n### Unterstützte Dateitypen (Laufzeit)\n- CSV, XLSX. SAV-Unterstützung ist optional und in dieser Umgebung nicht installiert.\n\n### Kurzglossar\n- **Schwellen-Spalten:** `too_cheap`, `bargain`, `expensive_acceptable`, `too_expensive`\n- **Akzeptable Spanne:** `[PMI, PME]`\n- **Turnover-Index:** `Preis * PI`, normiert auf max = 100\n\n## Modellschichten\n- **Wahrnehmungsschicht (PSM):** Wahrnehmungsgrenzen (PMI/OPP/IDP/PME).\n- **Modellierte Nachfrageschicht (NMS/PI):** modellierte Kaufwahrscheinlichkeitskurven aus PI-Annahmen.\n- **Ökonomische Proxy-Schicht:** Turnover/Profit-Proxies aus modellierter PI.\n\nPSM misst Preiswahrnehmungsgrenzen, nicht die beobachtete Marktnachfrage im Wettbewerb.\nEin Wettbewerbs-/Substitutionsmodell ist nicht enthalten.\n\n### Beispiele für die Formulierungspolitik\n- `Wahrnehmung: Das Modell legt unter den aktuellen Annahmen einen Preis nahe dem Zentrum der akzeptierten Spanne nahe.`\n- `Modellierte Nachfrage: Das Modell legt unter den aktuellen Annahmen einen Preis nahe dem Bereich mit dem höchsten modellierten Trial nahe.`\n- `Ökonomischer Proxy: Das Modell legt unter den aktuellen Annahmen einen Preis nahe dem Bereich mit dem höchsten Turnover nahe.`",Knowledge & Methodology markdown tab content.,src/psm_tool/ui/knowledge_content.py,Generated with representative config values; runtime values may vary.
knowledge.markdown.psm_(price_sensitivity_meter),"# PSM (Price Sensitivity Meter)\n\n## Inputs and validity rule\nPSM uses four threshold columns per respondent:\n- `too_cheap`\n- `bargain`\n- `expensive_acceptable`\n- `too_expensive`\n\nStrict ordering rule used by code:\n`too_cheap < bargain < expensive_acceptable < too_expensive`\n\nIn Results, this plausibility filter is a user toggle:\n- ON (default): only ordered respondents enter PSM/NMS analysis\n- OFF: non-ordered respondents can remain in analysis and are explicitly reported in QC\n\n## Curve construction (exact definitions)\nOn each grid price `p`:\n- Too Cheap(p): share with `too_cheap >= p`\n- Bargain(p): share with `bargain >= p`\n- Expensive(p): share with `expensive_acceptable <= p`\n- Too Expensive(p): share with `too_expensive <= p`\n- Not Bargain(p) = `100 - Bargain(p)`\n- Not Expensive(p) = `100 - Expensive(p)`\n\nWeight behavior:\n- If `weight` exists and usable (sum of non-negative weights > 0), weighted shares are used.\n- If `weight` is missing/invalid/all-zero, the tool falls back to unweighted calculation (and reports this in UI/QC).\n\n## KPI intersections\nIntersections are solved on the grid with linear interpolation:\n- PMI: Too Cheap x Not Bargain\n- OPP: Too Cheap x Too Expensive\n- IDP: Bargain x Expensive\n- PME: Too Expensive x Not Expensive\n\nStatus values implemented:\n- clean\n- interval\n- closest\n\nMeaning:\n- `clean`: sign-change crossing found\n- `interval`: overlapping segment; tool reports midpoint and interval bounds\n- `closest`: no crossing; tool reports closest approach on grid\n\nDerived KPIs:\n- Accepted Range = `[min(PMI, PME), max(PMI, PME)]`\n- Price Stress = `OPP - IDP`","# PSM (Price Sensitivity Meter)\n\n## Inputs und Plausi-Regel\nPSM nutzt vier Schwellen je Respondent:\n- `too_cheap`\n- `bargain`\n- `expensive_acceptable`\n- `too_expensive`\n\nStrenge Ordnungsregel im Code:\n`too_cheap < bargain < expensive_acceptable < too_expensive`\n\nIn Results ist dies ein Schalter:\n- ON (Default): nur geordnete Respondents gehen in PSM/NMS\n- OFF: ungeordnete Respondents koennen enthalten sein; QC weist das explizit aus\n\n## Kurvendefinitionen (exakt)\nFuer jeden Grid-Preis `p`:\n- Too Cheap(p): Anteil mit `too_cheap >= p`\n- Bargain(p): Anteil mit `bargain >= p`\n- Expensive(p): Anteil mit `expensive_acceptable <= p`\n- Too Expensive(p): Anteil mit `too_expensive <= p`\n- Not Bargain(p) = `100 - Bargain(p)`\n- Not Expensive(p) = `100 - Expensive(p)`\n\nGewichtung:\n- Wenn `weight` vorhanden und nutzbar ist (Summe nicht-negativer Gewichte > 0), wird gewichtet gerechnet.\n- Sonst faellt das Tool auf ungewichtete Berechnung zurueck (Hinweis in UI/QC).\n\n## KPI-Schnittpunkte\nSchnittpunkte werden per linearer Interpolation auf dem Grid bestimmt:\n- PMI: Too Cheap x Not Bargain\n- OPP: Too Cheap x Too Expensive\n- IDP: Bargain x Expensive\n- PME: Too Expensive x Not Expensive\n\nImplementierte Status:\n- clean\n- interval\n- closest\n\nBedeutung:\n- `clean`: klare Kreuzung per Vorzeichenwechsel\n- `interval`: Ueberlappung auf Intervall; Tool berichtet Mittelpunkt plus Bounds\n- `closest`: keine Kreuzung auf Grid; Tool berichtet naechste Annaeherung\n\nAbgeleitete KPIs:\n- Accepted Range = `[min(PMI, PME), max(PMI, PME)]`\n- Price Stress = `OPP - IDP`",Knowledge & Methodology markdown tab content.,src/psm_tool/ui/knowledge_content.py,Generated with representative config values; runtime values may vary.
knowledge.markdown.nms_(newton-miller-smith),"# NMS (Newton-Miller-Smith)\n\nPurchase Intention & Turnover\n\n## PI sources and priority\nThe tool resolves PI curve source in this order:\n1) Explicit PI ladder (`price`, `purchase_intention_pct`) for selected segment/currency/product\n2) NMS modeled trial curve from respondent-level PI anchors\n\n## Respondent-level NMS model (when no ladder is used)\nRequired PI columns:\n- `pi_bargain_pct`\n- `pi_expensive_pct`\n\nPer respondent, the tool builds a piecewise-linear curve with four anchors:\n`(too_cheap, 0) -> (bargain, PI_bargain) -> (expensive_acceptable, PI_expensive) -> (too_expensive, 0)`\nThen it averages curves over the active analysis base (weighted if usable).\n\nBase population is the current Results analysis base, plus optional PUKI filter:\n- default: `puki <= 2` if `puki` exists\n- optional: `puki <= 3`\n- if `puki` missing: filter is not applied and this is reported\n\n## PI unit invariant and guardrails\nAccepted PI input representations:\n- percent `0..100`\n- fraction `0..1` (normalized with guardrails when detected)\n- coded scale `1..11` (mapped as `pct = 10 + (code - 1) * 9`)\n\nPI unit handling: internal invariant is percent 0..100. If both PI columns look like coded scale 1..11, the tool maps them to percent with pct = 10 + (code - 1) * 9. If both PI columns look like 0..1 fractions with strong evidence, the tool normalizes to 0..100 and adds a warning. If both columns look like fractions but are extremely tiny, it does not auto-scale and warns. Mixed units across PI columns raise a validation error.\n\n## Turnover Index (0-100)\n- `revenue_raw(p) = price(p) * (PI(p)/100)`\n- `turnover_index(p) = revenue_raw(p) / max(revenue_raw) * 100` (or 0 if max is 0)\n- max-turnover price tie-break: lowest price among equal maxima\n\nWhy turnover can look plausible while PI is wrong:\n- normalization to max=100 can preserve shape even when PI is scaled incorrectly.\n\n## Optional Profit Proxy mode\nIf unit cost is entered in Results:\n- `profit_proxy_per_100 = (price - cost) * (PI/100) * 100`\n- `profit_index = profit_proxy / max(profit_proxy) * 100` (or 0 if max <= 0)\n- max-profit tie-break: lowest price among equal maxima","# NMS (Newton-Miller-Smith)\n\nKaufwahrscheinlichkeit & Turnover\n\n## PI-Quelle und Priorität\nDie PI-Kurve wird in dieser Reihenfolge bestimmt:\n1) Explizite Preisleiter (`price`, `purchase_intention_pct`) für Segment/Währung/Produkt\n2) NMS-Modellkurve aus Respondent-PI-Ankern\n\n## NMS-Modell (wenn keine Preisleiter genutzt wird)\nErforderliche PI-Spalten:\n- `pi_bargain_pct`\n- `pi_expensive_pct`\n\nPro Respondent wird eine piecewise-lineare Kurve gebaut:\n`(too_cheap, 0) -> (bargain, PI_bargain) -> (expensive_acceptable, PI_expensive) -> (too_expensive, 0)`\nDanach Mittelung über die aktive Analysebasis (optional gewichtet).\n\nAnalysebasis:\n- aktuelle Results-Basis (inkl. Plausi-/Ausreißer-Einstellungen)\n- optionaler PUKI-Filter:\n  - Default `puki <= 2`\n  - optional `puki <= 3`\n  - ohne `puki`: kein Filter, wird ausgewiesen\n\n## PI-Einheiten und Guardrails\nUnterstützte PI-Eingabedarstellungen:\n- Prozent `0..100`\n- Fraction `0..1` (wird bei Erkennung mit Guardrails normalisiert)\n- Code-Skala `1..11` (Mapping: `pct = 10 + (code - 1) * 9`)\n\nHandhabung der PI-Einheiten: Die interne Invariante ist Prozent `0..100`. Wenn beide PI-Spalten wie eine Code-Skala `1..11` aussehen, mappt das Tool sie mit `pct = 10 + (code - 1) * 9` auf Prozent. Wenn beide PI-Spalten mit starker Evidenz wie `0..1`-Fractions aussehen, normalisiert das Tool auf `0..100` und ergänzt einen Warnhinweis. Wenn beide Spalten wie Fractions aussehen, aber extrem klein sind, wird nicht automatisch skaliert und stattdessen gewarnt. Gemischte Einheiten zwischen den PI-Spalten führen zu einem Validierungsfehler.\n\n## Turnover-Index (0-100)\n- `revenue_raw(p) = price(p) * (PI(p)/100)`\n- `turnover_index(p) = revenue_raw(p) / max(revenue_raw) * 100` (oder 0 wenn max = 0)\n- Tie-break bei Maximum: niedrigster Preis bei Gleichstand\n\nWarum Turnover gut aussehen kann, obwohl PI falsch ist:\n- Normierung auf max=100 kann den Verlauf stabil wirken lassen, obwohl PI skaliert falsch ist.\n\n## Optional: Profit-Proxy-Modus\nWenn Unit Cost in Results gesetzt ist:\n- `profit_proxy_per_100 = (price - cost) * (PI/100) * 100`\n- `profit_index = profit_proxy / max(profit_proxy) * 100` (oder 0 bei max <= 0)\n- Tie-break Maximum Profit: niedrigster Preis bei Gleichstand",Knowledge & Methodology markdown tab content.,src/psm_tool/ui/knowledge_content.py,Generated with representative config values; runtime values may vary.
knowledge.markdown.quality_and_grid,"# Quality & Grid\n\n## QC fields reported by code\nQC includes:\n- total rows\n- PSM-valid rows\n- exclusions due to ordering or missing thresholds\n- PUKI pass/excluded counts (if `puki` exists)\n- outlier filter settings and excluded count\n- analysis N after outlier filtering\n- weighting fallback indicators\n\n## Data validation rule: price inputs\nRule: **Negative price values are treated as missing.**\n\nDescription:\n- any threshold value `< 0` is converted to missing in preprocessing\n- negative values are excluded exactly like other missing values\n- no clamping and no transformation is applied\n\nScope:\n- PSM calculations\n- Purchase Intention calculations\n- Turnover Index calculations\n- NMS Trial/Revenue calculations\n\n## Outlier filter (Results control)\nOptional row-level exclusion using quantile bands per price column:\n- Mild: 0.5%..99.5%\n- Medium: 1%..99%\n- Strict: 5%..95%\nA row is excluded if at least one threshold is outside bounds.\n\n## Auto grid algorithm (as implemented)\nThe auto grid uses PSM-valid thresholds:\n1) flatten all threshold values\n2) compute p05 and p95 when enough values are available\n3) span = p95 - p05\n4) grid_min = max(0, p05 - 0.25 * span)\n5) grid_max fallback = p95 + 0.25 * span\n6) upper guardrail: if median(`expensive_acceptable`) is finite and >0, use `round_up_to_100(2 * median_expensive_acceptable)` as grid_max\n7) derive nice step, target about 100 points\n8) apply currency snap when enabled (floor min / ceil max, step aligned to increment)\n9) ensure sorted unique grid and include max\n10) fallback to legacy min/max logic if quantile path is not usable\n\n## Manual grid override\nYou can force `min`, `max`, `step` in Results.\nThis is useful when outliers or unit issues stretch the axis.\n\n### Currency snapping defaults\n- EUR: 5\n- SEK: 20\n- CHF: 5","# Qualität & Grid\n\n## QC-Felder aus dem Code\nQC weist aus:\n- Gesamtfälle\n- PSM-valides n\n- Ausschlüsse wegen Ordnung/Missingness\n- PUKI Pass/Excluded (wenn `puki` vorhanden)\n- Ausreißer-Settings und excluded n\n- Analysis n nach Ausreißerfilter\n- Weight-Fallback-Hinweise\n\n## Datenvalidierungsregel: Preis-Inputs\nRegel: **Negative Preiswerte werden als Missing behandelt.**\n\nBeschreibung:\n- jeder Schwellenwert `< 0` wird im Preprocessing zu Missing\n- negative Werte werden identisch zu anderen Missing-Werten ausgeschlossen\n- kein Clamping und keine Transformation\n\nScope:\n- PSM-Berechnungen\n- Purchase-Intention-Berechnungen\n- Turnover-Index-Berechnungen\n- NMS Trial/Revenue-Berechnungen\n\n## Ausreißerfilter (Results)\nOptionales Zeilen-Excluding über Quantil-Bänder je Preisspalte:\n- Mild: 0.5%..99.5%\n- Medium: 1%..99%\n- Strict: 5%..95%\nZeile wird ausgeschlossen, wenn mindestens eine Schwelle außerhalb liegt.\n\n## Auto-Grid-Algorithmus (implementiert)\nDas Auto-Grid nutzt PSM-valide Schwellen:\n1) alle Schwellen flatten\n2) p05/p95 berechnen (bei ausreichender Datenlage)\n3) span = p95 - p05\n4) grid_min = max(0, p05 - 0.25 * span)\n5) grid_max fallback = p95 + 0.25 * span\n6) obere Guardrail: wenn median(`expensive_acceptable`) > 0, dann `round_up_to_100(2 * median_expensive_acceptable)` als grid_max\n7) nice step für ca. 100 Punkte\n8) optional Currency-Snap (min floor, max ceil, step aligned)\n9) sortiert/eindeutig, max enthalten\n10) legacy fallback falls Quantil-Pfad nicht nutzbar ist\n\n## Manuelles Grid\n`min`, `max`, `step` können in Results überschrieben werden.\n\n### Currency-Snapping Defaults\n- EUR: 5\n- SEK: 20\n- CHF: 5",Knowledge & Methodology markdown tab content.,src/psm_tool/ui/knowledge_content.py,Generated with representative config values; runtime values may vary.
knowledge.markdown.exports_and_privacy,"# Exports & Privacy\n\n## Export outputs\n- PPTX with static chart images and KPI text\n- Excel with KPI summary and curve tables\n\n## Static image rendering requirement\nPPTX export converts Plotly figures to PNG via Kaleido.\nA working Chrome/Chromium runtime is required.\nThe app performs an export preflight and shows an actionable error if browser rendering is unavailable.\n\n## Privacy posture\n- Uploaded files are processed in memory in normal app flow.\n- Public demo should only use synthetic/non-sensitive data.\n- Private client datasets should stay local and outside versioned paths.","# Export & Datenschutz\n\n## Exporte\n- PPTX mit statischen Chart-Bildern und KPI-Text\n- Excel mit KPI-Summary und Kurventabellen\n\n## Voraussetzung für statisches Rendering\nPPTX-Export rendert Plotly-Charts als PNG über Kaleido.\nDafür wird eine funktionierende Chrome/Chromium-Runtime benötigt.\nVor Export gibt es einen Preflight mit konkreter Fehlermeldung.\n\n## Datenschutz\n- Uploads werden im normalen App-Flow in-memory verarbeitet.\n- Öffentliche Demo nur mit synthetischen/nicht-sensitiven Daten.\n- Vertrauliche Kundendaten lokal und außerhalb versionierter Pfade halten.",Knowledge & Methodology markdown tab content.,src/psm_tool/ui/knowledge_content.py,Generated with representative config values; runtime values may vary.
knowledge.markdown.faq,"# FAQ / Troubleshooting\n\n## Purchase Intention is unexpectedly low\nCheck in this order:\n- PI units (`pi_bargain_pct`, `pi_expensive_pct`) are correctly interpreted:\n  percent `0..100`, fraction `0..1`, or coded `1..11`\n- no mixed PI units across the two PI columns\n- expected PUKI threshold is selected\n- plausibility/outlier filters are intentionally set\n\n## Axis is stretched and curves are compressed\nCommon causes:\n- outliers in threshold columns\n- broad segment mix\n- manual grid not set for focused view\n\nUse:\n- outlier filter and/or\n- manual min/max/step override.\n\n## Turnover index looks fine but PI does not\nThis can happen because turnover is normalized to max=100.\nVerify PI units and PI source mode (ladder vs modeled NMS curve).\n\n## PPTX export fails\nReason is typically missing browser runtime for PNG rendering.\nEnsure Chrome/Chromium is available in the runtime environment and rerun export.\n\n## closest/interval intersection status appears\nInterpretation:\n- `closest`: no crossing on current grid\n- `interval`: overlap over a range\nIn both cases, read KPIs with caution and inspect curve shape/QC.","# FAQ / Troubleshooting\n\n## Purchase Intention ist unerwartet niedrig\nIn dieser Reihenfolge prüfen:\n- PI-Einheiten (`pi_bargain_pct`, `pi_expensive_pct`) korrekt interpretiert:\n  Prozent `0..100`, Fraction `0..1` oder Code-Skala `1..11`\n- keine gemischten PI-Einheiten\n- erwarteter PUKI-Threshold gesetzt\n- Plausi-/Ausreißerfilter bewusst gesetzt\n\n## Achse ist zu breit, Kurven wirken gequetscht\nTypische Ursachen:\n- Ausreißer in Preisspalten\n- breite Segmentmischung\n- fehlendes manuelles Grid für Fokusbereich\n\nOptionen:\n- Ausreißerfilter aktivieren und/oder\n- manuelles Grid setzen (`min`, `max`, `step`)\n\n## Turnover sieht okay aus, PI nicht\nKann durch Normierung auf max=100 passieren.\nPI-Einheiten und PI-Quelle (Preisleiter vs NMS-Modellkurve) prüfen.\n\n## PPTX-Export fällt aus\nMeist fehlt Browser-Runtime für PNG-Rendering.\nChrome/Chromium sicherstellen und Export erneut starten.\n\n## closest/interval statt clean\nBedeutung:\n- `closest`: keine Kreuzung auf aktuellem Grid\n- `interval`: Überlappung über Bereich\nKPIs dann vorsichtig interpretieren und Kurven/QC mitprüfen.",Knowledge & Methodology markdown tab content.,src/psm_tool/ui/knowledge_content.py,Generated with representative config values; runtime values may vary.
