"respondent_id","segment","currency","product_id","too_cheap","bargain","expensive_acceptable","too_expensive","weight","puki","pi_bargain_pct","pi_expensive_pct"
"DE_Classic_00001","DE","EUR","Classic","25.2","37.7","49.2","65.1","1.126","1","10","6"
"DE_Classic_00002","DE","EUR","Classic","21.3","34.0","44.4","59.2","0.883","4","10","7"
"DE_Classic_00003","DE","EUR","Classic","23.9","40.0","50.5","63.7","1.035","2","9","4"
"DE_Classic_00004","DE","EUR","Classic","22.8","31.9","43.5","62.3","0.882","1","8","5"
"DE_Classic_00005","DE","EUR","Classic","35.0","42.4","53.1","63.3","1.245","4","8","5"
"DE_Classic_00006","DE","EUR","Classic","35.4","40.6","53.0","64.8","","3","8","5"
"DE_Classic_00007","DE","EUR","Classic","24.2","39.3","51.7","69.8","1.141","3","10","6"
"DE_Classic_00008","DE","EUR","Classic","26.0","30.6","40.3","50.2","0.659","2","7","6"
"DE_Classic_00009","DE","EUR","Classic","30.0","35.7","47.4","56.8","0.903","2","8","7"
"DE_Classic_00010","DE","EUR","Classic","27.6","37.4","51.2","69.2","1.064","2","8","6"
"DE_Classic_00011","DE","EUR","Classic","18.4","32.5","45.2","55.9","1.118","5","8","6"
"DE_Classic_00012","DE","EUR","Classic","20.4","37.6","49.2","65.5","0.99","3","9","6"
"DE_Classic_00013","DE","EUR","Classic","25.9","34.9","48.5","47.5","0.906","3","8","5"
"DE_Classic_00014","DE","EUR","Classic","28.9","44.5","59.0","71.7","1.02","1","9","7"
"DE_Classic_00015","DE","EUR","Classic","23.3","39.2","46.6","62.7","0.912","2","9","5"
"DE_Classic_00016","DE","EUR","Classic","19.6","36.8","44.8","60.5","0.957","3","9","7"
"DE_Classic_00017","DE","EUR","Classic","30.3","38.0","37.0","57.6","0.791","2","8","7"
"DE_Classic_00018","DE","EUR","Classic","21.5","33.9","45.9","59.9","1.182","3","8","6"
"DE_Classic_00019","DE","EUR","Classic","29.3","41.0","51.0","63.9","1.137","1","8","6"
"DE_Classic_00020","DE","EUR","Classic","20.4","32.3","45.5","64.2","1.177","2","8","5"
"DE_Classic_00021","DE","EUR","Classic","27.2","39.9","38.9","","0.949","1","8","7"
"DE_Classic_00022","DE","EUR","Classic","21.8","35.0","46.4","67.9","0.908","4","9","5"
"DE_Classic_00023","DE","EUR","Classic","18.5","31.5","41.0","56.1","1.259","2","8","5"
"DE_Classic_00024","DE","EUR","Classic","27.3","38.5","48.7","65.9","1.048","1","8","6"
"DE_Classic_00025","DE","EUR","Classic","12.7","27.9","39.3","57.5","1.213","4","10","6"
"DE_Classic_00026","DE","EUR","Classic","23.4","33.9","43.9","55.5","1.007","1","8","6"
"DE_Classic_00027","DE","EUR","Classic","24.1","33.1","40.9","50.4","0.804","1","8","5"
"DE_Classic_00028","DE","EUR","Classic","19.1","31.7","36.8","49.4","0.903","2","8","6"
"DE_Classic_00029","DE","EUR","Classic","19.4","31.6","43.1","56.7","1.136","3","9","7"
"DE_Classic_00030","DE","EUR","Classic","16.2","33.2","45.9","69.6","1.057","2","8","5"
"DE_Classic_00031","DE","EUR","Classic","26.8","36.2","44.3","58.1","1.159","1","10","8"
"DE_Classic_00032","DE","EUR","Classic","19.3","35.4","48.3","68.2","0.845","1","8","6"
"DE_Classic_00033","DE","EUR","Classic","19.5","28.6","49.1","60.1","1.225","2","8","6"
"DE_Classic_00034","DE","EUR","Classic","27.6","37.3","48.4","66.2","1.121","2","8","7"
"DE_Classic_00035","DE","EUR","Classic","27.1","36.0","48.9","62.1","0.822","3","8","6"
